1,1836.501492,1537.481927,2144.175072,[ 23  36  61  87 112],[ 10  24  61  75 112],1537.481927,"[23, 36, 61, 112, 87]",3002.426044,"[22, 40, 68, 88, 108]",,,,,,0
2,1533.83199,1280.61552,1959.43944,[  9  50  74  93 117],[  5  49  68 103 129],1776.503702,"[24, 44, 98, 129, 65]",2566.99244,"[9, 44, 70, 98, 129]",,,,,,495.8881818
3,1716.702618,1444.245557,2217.9158,[ 15  54  76  99 132],[  0  41  74  99 116],1459.232143,"[15, 54, 76, 133, 99]",1900.332131,"[2, 42, 79, 109, 132]",,,,,,14.98658641
4,1461.324044,1121.726488,1887.140425,[ 12  49  81 115 146],[ 28  49  78 115 143],1472.183587,"[12, 50, 117, 146, 81]",2091.354646,"[0, 50, 75, 117, 139]",,,,,,350.4570989
5,1825.688006,1559.769084,2093.279013,[ 29  61  84 113 157],[  6  56  94 124 157],1835.510573,"[6, 57, 113, 157, 92]",1309.963884,"[29, 57, 92, 113, 157]",,,,,,275.7414888
6,1466.60589,1271.661433,1723.457103,[  6  59  94 119 157],[  7  56 101 120 165],1271.661433,"[6, 59, 119, 157, 94]",2211.905499,"[23, 62, 97, 121, 157]",,,,,,0
7,1322.109227,1203.966125,1725.802639,[ 27  55  91 141 176],[  5  58  90 141 175],1224.297978,"[28, 56, 130, 171, 93]",2246.941839,"[18, 56, 102, 129, 168]",,,,,,20.33185291
8,1385.636827,1193.192488,1655.026341,[  2  69 101 151 175],[ 10  64 112 144 174],1399.831241,"[2, 64, 150, 175, 101]",1641.86897,"[10, 68, 112, 144, 182]",,,,,,206.6387528
9,1639.359198,1424.062569,2339.21513,[  9  77 105 143 188],[ 39  79 117 143 165],2165.998695,"[25, 73, 104, 186, 126]",2853.051703,"[9, 77, 115, 150, 183]",,,,,,741.9361262
10,1250.86168,1092.318594,1498.08523,[  7  79 105 147 208],[  7  66 105 147 208],1146.913963,"[2, 70, 160, 195, 110]",1319.048312,"[8, 79, 105, 147, 208]",,,,,,54.59536924
11,1532.118104,1345.060227,2039.948552,[  3  86 115 166 218],[  0  70 115 164 218],1405.333796,"[3, 77, 155, 218, 126]",2856.100811,"[34, 78, 117, 155, 218]",,,,,,60.27356988
12,1530.321919,1300.64793,1987.433356,[ 35  87 127 165 219],[  6  87 123 165 219],1648.669886,"[35, 80, 162, 220, 116]",2588.883199,"[20, 83, 123, 181, 219]",,,,,,348.0219557
13,1589.39656,1170.751833,2064.020419,[ 18  88 130 187 216],[  5  88 134 171 226],1170.751833,"[18, 88, 187, 216, 130]",1730.530523,"[18, 93, 130, 187, 216]",,,,,,0
14,1679.301125,1418.151368,2067.619122,[ 41  98 138 192 243],[ 18  98 147 183 234],1734.279037,"[41, 77, 192, 246, 137]",2551.344367,"[9, 98, 134, 185, 234]",,,,,,316.1276689
15,1501.906699,1241.473265,2060.772013,[ 23  89 136 206 238],[ 25  93 151 207 250],1666.440677,"[25, 89, 193, 247, 110]",2027.665263,"[4, 86, 138, 193, 247]",,,,,,424.9674121
